date;data_mean_global;data_mean_nh;data_mean_sh
1719-05-15;278.289932710861;279.796982537538;276.782882884185
1719-06-15;277.553997370924;278.279399945561;276.828594796287
1719-07-15;275.91094097027;274.99484857666;276.82703336388
1719-08-15;274.304900117198;271.930847923516;276.67895231088
1719-09-15;274.261531748341;272.025094491171;276.497969005511
1719-10-15;275.294547104586;274.130426911523;276.458667297649
1719-11-15;276.294954015023;276.005524265863;276.584383764184
1719-12-15;276.927833528297;277.244015417132;276.611651639461
1720-01-15;277.383740090829;278.062960034158;276.7045201475
1720-02-15;277.762194431296;278.714534665382;276.809854197209
1720-03-15;278.099636932771;279.352580587333;276.84669327821
1720-04-15;278.335967348969;279.882961013529;276.788973684409
1720-05-15;278.276280027373;279.78332985405;276.769230200697
1720-06-15;277.540855053993;278.26625762863;276.815452479356
1720-07-15;275.898639146217;274.982546752607;276.814731539827
1720-08-15;274.293715594643;271.919663400961;276.667767788325
1720-09-15;274.251688018204;272.015250761034;276.488125275374
1720-10-15;275.286214340087;274.122094147024;276.45033453315
1720-11-15;276.288249071683;275.998819322523;276.577678820844
1720-12-15;276.922819943936;277.239001832771;276.6066380551
1721-01-15;277.380428085566;278.059648028895;276.701208142237
1721-02-15;277.76054090755;278.712881141636;276.808200673463
1721-03-15;278.099545475263;279.352489129825;276.846601820702
1721-04-15;278.337288278881;279.884281943441;276.790294614322
1721-05-15;278.278826149846;279.785875976523;276.77177632317
1721-06-15;277.544439546988;278.269842121625;276.819036972351
1721-07-15;275.903081177666;274.986988784056;276.819173571276
1721-08-15;274.29884032245;271.924788128768;276.672892516132
1721-09-15;274.257326590244;272.020889333074;276.493763847414
1721-10-15;275.292203894207;274.128083701144;276.45632408727
1721-11-15;276.2944327357;276.00500298654;276.583862484861
1721-12-15;276.929046835639;277.245228724475;276.612864946803
1722-01-15;277.386553312717;278.065773256046;276.707333369388
1722-02-15;277.76642556788;278.718765801966;276.814085333794
1722-03-15;278.105056656475;279.358000311037;276.852113001914
1722-04-15;278.342299057899;279.889292722459;276.79530539334
